Entity,Code,Year,Drinking water - Proportion of population using improved water supplies - Safely managed - National - Percent (%)
Ireland,IRL,2002,92.74491321553113
Ireland,IRL,2003,93.24739800065262
Ireland,IRL,2004,93.75142444476245
Ireland,IRL,2005,94.25701589781325
Ireland,IRL,2006,94.76416019263496
Ireland,IRL,2007,95.27287101900589
Ireland,IRL,2008,95.78313799143135
Ireland,IRL,2009,96.29497293064829
Ireland,IRL,2010,96.80836725779874
Ireland,IRL,2011,97.32332350962166
Ireland,IRL,2012,97.83983133686942
Ireland,IRL,2013,98.3578935059817
Ireland,IRL,2014,98.87557829105627
Ireland,IRL,2015,98.87528778574293
Isle of Man,IMN,2011,96.25996810207337
Isle of Man,IMN,2012,96.25996810207337
Isle of Man,IMN,2013,96.25996810207337
Isle of Man,IMN,2014,96.25996810207337
Isle of Man,IMN,2015,96.25996810207337
Israel,ISR,2000,99.39
Israel,ISR,2001,99.39
Israel,ISR,2002,99.39000000000001
Israel,ISR,2003,99.39
Israel,ISR,2004,99.39
Israel,ISR,2005,99.39
Israel,ISR,2006,99.38999999999999
Israel,ISR,2007,99.38999999999999
Israel,ISR,2008,99.39
Israel,ISR,2009,99.39
Israel,ISR,2010,99.39
Israel,ISR,2011,99.39
Israel,ISR,2012,99.38999999999999
Israel,ISR,2013,99.39
Israel,ISR,2014,99.39000000000001
Israel,ISR,2015,99.39
Italy,ITA,2000,86.4650990752973
Italy,ITA,2001,87.03429326287983
Italy,ITA,2002,87.60348745046235
Italy,ITA,2003,88.17268163804486
Italy,ITA,2004,88.74187582562763
Italy,ITA,2005,89.31107001321016
Italy,ITA,2006,89.88026420079268
Italy,ITA,2007,90.4494583883752
